F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42
1.3317,1.2054,29.447,2.539,87.1,47.7,0.926,184.5,21.85,21.1,2.5175,87,137,48,0,16.57,46.95,84.0,21.9,1.74,3.6,6.226,21.499,2.5741,173.87,43.3,0.921,88.8,37.78,75.8,12.155,11.14,72.17,0.971,334.4,5.39,85.5,1,0,0,0,0
1.2611,0.8679,24.8179,2.508,91.2,46.4,1.3155,180.4,14.16,13.45,4.4112,91,142,0,0,20.67,46.02,49.3,37.0,1.19,1.21,5.778,16.835,3.5479,17.54,113.6,0.965,108.1,28.99,52.9,3.534,11.24,76.17,4.215,325.4,6.24,60.1,0,0,0,0,0
1.1636,1.2443,35.1731,2.544,59.3,29.1,1.3431,178.2,15.56,13.47,4.3896,78,139,40,0,15.74,46.59,121.8,23.8,1.8,1.4,5.096,28.871,0.7,145.26,149.8,1.124,63.0,78.26,84.9,2.585,13.53,78.13,0.993,390.5,5.4,37.8,0,0,0,0,0
1.7408,1.032,34.4551,2.528,89.5,30.4,1.596,169.7,10.91,18.43,4.1196,88,137,0,2,45.22,40.83,43.2,20.9,3.54,3.23,7.234,18.628,3.1949,55.31,11.7,1.489,67.8,37.18,96.3,8.452,9.53,72.19,2.089,213.7,5.38,78.2,0,0,0,1,0
1.1763,1.0084,27.2533,2.242,59.1,35.9,1.1511,164.0,22.18,16.91,5.6102,86,131,65,1,37.26,38.58,45.3,41.6,1.75,3.44,4.479,10.67,2.9934,40.13,12.7,1.228,12.0,14.65,94.0,9.44,5.59,65.23,1.381,324.0,7.2,49.0,0,0,0,0,0
1.5804,1.1261,16.7282,2.516,79.5,28.5,1.4267,177.5,19.91,12.67,7.1529,85,133,57,0,40.61,44.6,90.1,19.4,3.21,0.77,4.118,23.73,3.7919,52.89,47.8,1.362,82.5,15.98,76.3,9.886,3.95,70.55,1.619,366.9,5.13,28.1,0,0,0,0,0
1.0009,0.7723,33.1067,2.233,59.8,30.3,1.9038,180.5,15.65,15.7,4.2004,81,126,48,0,40.93,41.8,58.3,26.1,5.89,2.05,5.493,17.402,1.6994,11.09,17.6,1.232,87.2,19.46,16.2,30.0,6.92,70.0,2.664,348.8,6.41,58.9,0,0,0,1,0
1.7341,0.9933,23.2821,2.354,58.0,36.2,1.2783,161.2,20.61,14.85,4.4469,78,116,0,0,24.43,43.81,72.1,32.7,1.19,2.94,4.716,18.464,2.3271,42.0,10.2,1.29,68.9,35.84,63.7,3.468,9.45,68.75,1.772,325.8,3.35,47.6,0,0,0,1,0
1.7723,1.2713,26.0398,2.55,74.9,31.8,1.6496,176.7,17.28,16.19,4.7403,80,102,62,0,21.12,45.11,91.6,35.9,1.79,3.62,5.814,36.01,2.6532,20.01,6.9,0.937,90.7,45.31,79.1,2.111,12.54,71.59,1.786,266.6,8.21,47.6,0,0,1,0,0
1.2536,1.1528,33.5531,2.591,99.4,28.3,0.677,168.4,18.11,16.32,2.4342,83,128,0,0,28.35,41.78,116.0,21.0,1.02,3.78,3.0,10.437,3.2191,65.76,64.8,1.371,149.1,28.64,96.6,9.729,7.81,72.21,6.603,279.6,6.56,45.2,0,0,0,0,0
1.3346,1.0336,35.6093,2.335,91.4,40.7,1.3993,166.2,16.63,16.62,4.0858,63,140,0,0,5.0,45.25,30.0,23.1,3.66,2.64,5.154,17.885,3.4732,92.24,63.1,0.987,108.4,65.05,47.0,8.392,6.75,75.39,1.897,413.1,5.67,59.0,0,0,0,1,0
